QuestionID,Question,Answer,Explanation,Counter
67,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Building a data center infrastructure is an example of OpEx. (Y/N)
- Monthly salaries for technical personnel are an example of OpEx. (Y/N)
- Leasing software is an example of OpEx. (Y/N)",NYY,"Box 1: No -
Building a data center infrastructure is capital expenditure, not operation expenditure.

Box 2: Yes -
OpEx is ongoing costs (costs of operations) such as staff salaries.

Box 2: Yes -
OpEx is ongoing costs (costs of operations) such as leasing software. If you purchased software as a one-off purchase, that would be CapEx, but leasing software is ongoing so it's OpEx.",0
68,"Azure Cosmos DB is an example of a […] offering.
A. PaaS
B. IaaS
C. serverless
D. SaaS",A,Azure Cosmos DB falls under PaaS.,0
69,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- With SaaS, you must apply software updates. (Y/N)
- With IaaS, you must install the software that you want to use. (Y/N)
- Azure Backup is an example of PaaS. (Y/N)",NYY,"Azure Backup is considered a part of Infrastructure as a Service (IaaS). It's a tool that provides backup services for data in Azure. While it does provide a service, it doesn't provide a platform for developing, running, or managing applications like Platform as a Service (PaaS) does. Instead, it provides infrastructure-level capabilities, which is characteristic of IaaS. So, Azure Backup is more accurately classified as IaaS.",0
70,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- You can create a resource group inside of another resource group. (Y/N)
- An Azure VM can be multiple resource group. (Y/N)
- A resource group can contain resources from multiple Azure regions. (Y/N)",NNY,"Nested Resource Groups are not allowed
Only One Resource Group is Necessary
A Resource Group can contain any Region Resources",0
71,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- SQL Server 2019 installed on an Azure VM is an example of PaaS. (Y/N)
- Azure SQL DB is an example of PaaS. (Y/N)
- Azure Cosmo DB is an example of SaaS. (Y/N)",NYN,"AVM - Iaas 
Azure Cosmos DB - Paas 
Azure SQL Database - Pass",0
72,"You can assign a […] to every Azure resource.
A. blueprint
B. lock
C. policy
D. service endpoint",B,"You can assign a policy to any scope that you have access to, such as a management group, subscription, or resource group. However, you cannot assign a policy directly to an individual resource.
You can assign a lock on every Azure resource that you have access to. You can apply a lock at different levels of scope: subscription, resource group, or individual resource.
So, the right answer is ""Lock""!",0
73,"Your company plans to migrate all its data and resources to Azure.
The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure.
You need to deploy an Azure environment that meets the company's migration plan.
What should you create?
A. Azure virtual machines, Azure SQL databases, and Azure Storage accounts.
B. an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed.
C. an Azure App Service and Azure SQL databases.
D. Azure storage accounts and web server in Azure virtual machines.",C,"IaaS -> Azure Virtual Machine, Azure Storage Account
PaaS -> Azure App service, Azure SQL Database, Azure Cosmos DB, Azure Synapse Analytics
SaaS -> Outlook email, Calendar, Microsoft Office 365",0
74,"What does a customer provide in a software as a service (SaaS) model?
A. application data
B. data storage
C. compute resources
D. application software",A,"A. application data- Customer provide
B. data storage- Third party provided
C. compute resources- Third party provided
D. application software- Third party provided",0
75,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Azure Files is an example of IaaS. (Y/N)
- A DNS server that runs on a VM is an example of PaaS. (Y/N)
- Microsoft Intune is an example of SaaS. (Y/N)",NNY,"Azure Files is a managed file storage service, which is typically considered a Platform as a Service (PaaS) offering. A DNS server running on a VM is closer to Infrastructure as a Service (IaaS), as you manage the VM itself. Microsoft Intune, a cloud-based service in the enterprise mobility management (EMM) space, is indeed Software as a Service (SaaS), where customers use the software without managing the underlying infrastructure.",0
76,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Cloud Computing provides elastic scalability. (Y/N)
- Customers can minimize CapEx by using a public cloud. (Y/N)
- Cloud computing leverages virtualization to provide services to multiple customers simultaneously. (Y/N)",YYY,None,0
77,"What is the first stage in the Microsoft Cloud Adoption Framework for Azure?
A. Adopt the cloud.
B. Make a plan.
C. Ready your organization.
D. Define your strategy.",D,Remember SPRAGM : Strategy - Plan - Ready - Adopt - Govern - Manage ,0
78,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- A company can extend an internal network by adding its own physical servers to the public cloud. (Y/N)
- A private cloud must be disconnected from the internet. (Y/N)
- Part of a hybrid cloud is the public cloud. (Y/N)",NNY,None,0
79,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- You must have physical servers to use cloud computing. (Y/N)
- You must have internet connectivity to use cloud computing. (Y/N)
- The costs to increase cloud computing capacity are less than the costs to increase the computing capacity of an on-premises datacenter. (Y/N)",NYY,None,0
80,"Match the cloud model to the correct advantage.
A. Agility
B. Geo-Distribution
C. Scalability
1. Resources can be provisioned dynamically to meet demands.
2. Applications and data can be deployed to multiple regions.
3. Applications can be developed, tested, and launched rapidly.",A3B2C1,None,0
81,"Azure Recovery provides […] for VM.
A. fault tolerance
B. disaster recovery
C. elasticity
D. high availability",B,None,0
82,"You plan to use Azure to host two apps named App1 and App2. The apps must meet the following requirements:
- You must be able to modify the code of App1.
- Administrative effort to manage the operating system of App1 must be minimized.
- App2 must run interactively with the operating system of the server.

A. IaaS
B. PaaS
C. SaaS

App1 and App2 ?",BA,"App1: You must be able to modify the code of App1, which implies a need for control over the operating system and software stack. Administrative effort to manage the operating system of App1 must be minimized, indicating a desire for platform management. Therefore, for App1, you should use Platform as a Service (PaaS). PaaS allows you to focus on your application code while abstracting away the underlying operating system management. 

App2: App2 must run interactively with the operating system of the server, which implies that you need direct access to and control over the operating system. In this case, you should use Infrastructure as a Service (IaaS). IaaS provides virtual machines (VMs) where you have full control over the operating system and can run applications interactively with it.",0
83,"You have an accounting application named App1 that uses a legacy database.
You plan to move App1 to the cloud.
Which service model should you use?
A. platform as a service (PaaS)
B. infrastructure as a service (IaaS)
C. software as a service (SaaS)",B,"App1 to the cloud is infrastructure as a service (IaaS). The reason for this is that IaaS allows you to have greater control over the operating system, networking, and other infrastructure components, which is important when you're working with legacy applications. With IaaS, you can still use your legacy database and other existing components, while taking advantage of the scalability and cost savings offered by cloud infrastructure. Platform as a service (PaaS) and software as a service (SaaS) are not ideal for legacy applications as they may require extensive modifications to the code or may not be compatible with the existing infrastructure. PaaS may be suitable if the application can be easily refactored or modernized to work on a new platform, while SaaS is most appropriate for applications where you don't have control over the underlying infrastructure or code.",0
84,"When you are implementing a SaaS solution, you are responsible for :
A. configuring high availability
B. defining scalability rules
C. installing the SaaS solution
D. configuring the SaaS solution",D,"Software as a service (or SaaS) is a way of delivering applications over the Internetג€""as a service. Instead of installing and maintaining software, you simply access it via the Internet, freeing yourself from complex software and hardware management.
SaaS applications are sometimes called Web-based software, on-demand software, or hosted software. Whatever the name, SaaS applications run on a SaaS provider's servers. The provider manages access to the application, including security, availability, and performance.",0
85,"An Azure web app that queries an on-premises Microsoft SQL server is an example of […] cloud.
A. hybrid
B. multi-vendor
C. private
D. public",A,None,0
86,"A Microsoft SQL Server database that is hosted in the cloud and has software updates managed by Azure in an example of […].
A. DRaaS
B. IaaS
C. PaaS
D. SaaS",C,"Platform as a service (PaaS) is a complete development and deployment environment in the cloud, with resources that enable you to deliver everything from simple cloud-based apps to sophisticated, cloud-enabled enterprise applications. You purchase the resources you need from a cloud service provider on a pay- as-you-go basis and access them over a secure Internet connection.
Like IaaS, PaaS includes infrastructure ""servers, storage, and networking""but also middleware, development tools, business intelligence (BI) services, database management systems, and more.",0
87,"Which cloud computing model includes on-premises and cloud-based resources?
A. hybrid
B. public
C. private",A,None,0
88,"Autoscaling is an example of […].
A. agility
B. elasticity
C. geo-distribution
D. predictability",B,Autoscaling takes advantage of the elasticity of cloud-hosted environments while easing management overhead. It reduces the need for an operator to continually monitor the performance of a system and make decisions about adding or removing resources.,0
89,"[…] supports synchronization between on-premises storage and Azure Storage.
A. Azure Blob Storage
B. Azure Files
C. Azure Queue Storage
D. Azure Table Storage",B,None,0
90,"Which term represents the ability to increase the computing capacity of a virtual machine by adding memory or CPUs?
A. agility
B. vertical scaling
C. horizontal scaling
D. elasticity",B,"Vertical scaling, also known as scale up and scale down, means increasing or decreasing virtual machine (VM) sizes in response to a workload. Compare this behavior with horizontal scaling, also referred to as scale out and scale in, where the number of VMs is altered depending on the workload.",0
91,"What are two benefits of cloud computing? Each correct answer presents a complete solution.
NOTE: Each correct selection is worth one point.
A. enables the rapid provisioning of resources
B. has increased administrative complexity
C. has the same configuration options as on-premises
D. shifts capital expenditures (CAPEX) to operating expenditures (OPEX)",AD,"Azure allows you to build, deploy, and manage apps more quickly and easily without having to buy and/or maintain the underlying infrastructure.
Azure provides flexibility between CapEx and OpEx
Capital expenditures generate benefits over a long period. These expenditures are generally nonrecurring and result in the acquisition of permanent assets.
Building an application could qualify as a capital expenditure. Example, Azure Reserved Instances (Azure RI) help Azure's most active customers save on long- term VM usage reserving VMs in advance at a discounted price by committing to a one or three-year benefits.
Operating expenditures are ongoing costs of doing business. Consuming cloud services in a pay-as-you-go model could qualify as an operating expenditure.
Example, you pay for a service or product as you use it i.e. pay-as-you-go pricing.",0
92,"What is a feature of an Azure virtual network?
A. resource cost analysis
B. packet inspection
C. geo-redundancy
D. isolation and segmentation",D,"Azure Virtual Network (VNet) is the fundamental building block for your private network in Azure. VNet enables many types of Azure resources, such as Azure Virtual Machines (VM), to securely communicate with each other, the internet, and on-premises networks. VNet is similar to a traditional network that you'd operate in your own data center, but brings with it additional benefits of Azure's infrastructure such as scale, availability, and isolation.",0
93,"[…] enables Azure resources to be deployed close to users.
A. Elasticity
B. Geo-distribution
C. High-Availability
D. Scalability",B,Geo-distribution makes you deploy apps and data to regional datacenters around the globe that is close to your customer to ensure best performance.,0
94,"A. Disaster recovery
B. Geo-Distribution
C. High Availability
D. Scalability 
1. Increase the compute capacity of apps in the cloud
2. Provide a continuous user experience with no apparent downtime
3. Ensures that users always have the best experience by deploying apps to all the regions where there are users",B3C2D1,None,0
95,"Which cloud computing benefit provides continuous user access to a cloud-based application with minimal downtime?
A. agility
B. scalability
C. elasticity
D. high availability",D,None,0
96,"You need to identify the type of failure for which an Azure Availability Zone can be used to protect access to Azure services.
What should you identify?
A. a physical server failure
B. an Azure region failure
C. a storage failure
D. an Azure data center failure",D,"It seems that in these questions designed by Microsoft it always follows this thinking pattern:
Regions > Zones > Data Center.
When you see a question like this with the keyword Zone AUTOMATICALLY you think protecting or managing data centers!",0
97,"You plan to extend your company's network to Azure.
The network contains a VPN appliance that uses an IP address of 131.107.200.1.
You need to create an Azure resource that defines the VPN appliance in Azure.
Which Azure resource should you create?
A. NAT gateways
B. Application gateways
C. Local network gateways
D. Virtual network gateways
E. On-premises Data Gateways
F. Azure Data Box Gateway
G. Azure Stack Edge / Data Box Gateway
H. Web Application Firewall policies",C,"A Local Network Gateway is an object in Azure that represents your on-premise VPN device. A Virtual Network Gateway is the VPN object at the Azure end of the VPN. A 'connection' is what connects the Local Network Gateway and the Virtual Network Gateway to bring up the VPN.
The local network gateway typically refers to your on-premises location. You give the site a name by which Azure can refer to it, then specify the IP address of the on-premises VPN device to which you will create a connection. You also specify the IP address prefixes that will be routed through the VPN gateway to the VPN device. The address prefixes you specify are the prefixes located on your on-premises network. If your on-premises network changes or you need to change the public IP address for the VPN device, you can easily update the values later.",0
98,"You plan to deploy several Azure virtual machines.
You need to ensure that the services running on the virtual machines are available if a single data center fails.
Solution: You deploy the virtual machines to two or more resource groups.
Does this meet the goal?
A. Yes
B. No",B,"Resource groups has never been a fault tolerance approach, resource groups are used to easy manage a group of resources.
It is a logical container for Azure resources. When you create a resource group, you specify which location to create the resource group in.
However, when you create a virtual machine and place it in the resource group, the virtual machine can still be in a different location (different datacenter).
Therefore, creating multiple resource groups, even if they are in separate datacenters does not ensure that the services running on the virtual machines are available if a single data center fails.",0
99,"You plan to deploy several Azure virtual machines.
You need to ensure that the services running on the virtual machines are available if a single data center fails.
Solution: You deploy the virtual machines to a scale set.
Does this meet the goal?
A. Yes
B. No",B,"This answer does not specify that the scale set will be configured across multiple data centers so this solution does not meet the goal.
Azure virtual machine scale sets let you create and manage a group of load balanced VMs. The number of VM instances can automatically increase or decrease in response to demand or a defined schedule. Scale sets provide high availability to your applications, and allow you to centrally manage, configure, and update many VMs.
Virtual machines in a scale set can be deployed across multiple update domains and fault domains to maximize availability and resilience to outages due to data center outages, and planned or unplanned maintenance events.",0
100,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- An Azure subscription can be associated to multiple Azure Active Directory (Azure AD) tenants.. (Y/N)
- You can change the Azure Active Directory (Azure AD) tenant to which an Azure subscription is associated. (Y/N)
- When an Azure subscription expires, the associated Azure Active Directory (Azure AD) tenant is deleted automatically. (Y/N)",NYN,"An Azure AD tenant can have multiple subscriptions but an Azure subscription can only be associated with one Azure AD tenant.

If your subscription expires, you lose access to all the other resources associated with the subscription. However, the Azure AD directory remains in Azure. You can associate and manage the directory using a different Azure subscription.",0
101,"Resource groups provide organizations with the ability to manage the compliance of Azure resources across multiple subscriptions.
Instructions: Review the underlined text. If it makes the statement correct, select `No change is needed`. If the statement is incorrect, select the answer choice that makes the statement correct.
A. No change is needed
B. Management groups
C. Azure policies
D. Azure App Service plans",B,"If your organization has many Azure subscriptions, you may need a way to efficiently manage access, policies, and compliance for those subscriptions. Management groups provide a governance scope above subscriptions. You organize subscriptions into management groups; the governance conditions you apply cascade by inheritance to all associated subscriptions.",0
102,"The company has several departments. All the Azure resources used by each department will be managed by a department administrator.
What are two possible techniques to segment Azure for the departments? Each correct answer presents a complete solution.
NOTE: Each correct selection is worth one point.
A. multiple subscriptions
B. multiple Azure Active Directory (Azure AD) directories
C. multiple regions
D. multiple resource groups",AD,"An Azure subscription is a container for Azure resources. It is also a boundary for permissions to resources and for billing. You are charged monthly for all resources in a subscription. A single Azure tenant (Azure Active Directory) can contain multiple Azure subscriptions.
A resource group is a container that holds related resources for an Azure solution. The resource group can include all the resources for the solution, or only those resources that you want to manage as a group.
To enable each department administrator to manage the Azure resources used by that department, you will need to create a separate subscription per department. You can then assign each department administrator as an administrator for the subscription to enable them to manage all resources in that subscription.",0
103,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- A single Microsoft account can be used to manage Azure multiple subscriptions. (Y/N)
- Two Azure subscriptions can be merged into a single subscription. (Y/N)
- A company can use resources from multiple subscriptions. (Y/N)",YNY,"Box 1: Yes -
You can use the same account to manage multiple subscriptions. You can create an additional subscription for your account in the Azure portal. You may want an additional subscription to avoid hitting subscription limits, to create separate environments for security, or to isolate data for compliance reasons.

Box 2: No -
You cannot merge two subscriptions into a single subscription. However, you can move some Azure resources from one subscription to another. You can also transfer ownership of a subscription and change the billing type for a subscription.

Box 3: Yes -
A company can have multiple subscriptions and store resources in the different subscriptions. However, a resource instance can exist in only one subscription.",0
104,"You have several VM in an Azure subscription. You create a new subscription :
A. The VM cannot be moved to the new subscription.
B. The VM can be moved to the new subscription.
C. The VM can be moved to the new subscription only if they run all in the same resource group.
D. The VM can be moved to the new subscription only if they run Windows Server 2016.
",B,"You can move a VM and its associated resources to a different subscription by using the Azure portal.
Moving between subscriptions can be handy if you originally created a VM in a personal subscription and now want to move it to your company's subscription to continue your work. You do not need to start the VM in order to move it and it should continue to run during the move.",0
105,"You have an Azure environment that contains multiple Azure virtual machines.
You plan to implement a solution that enables the client computers on your on-premises network to communicate to the Azure virtual machines.
You need to recommend which Azure resources must be created for the planned solution.
Which two Azure resources should you include in the recommendation? Each correct answer presents part of the solution.
NOTE: Each correct selection is worth one point.
A. a virtual network gateway
B. a load balancer
C. an application gateway
D. a virtual network
E. a gateway subnet",AE,"Having a virtual network is necessary but not sufficient; You need a subnet to host you VPN Gateway which is called a gateway subnet.
A gateway subnet is necessary AND sufficient, because if you want to create a gateway subnet you need to a VNet which is implied. so AE.",0
106,"You attempt to create several managed Microsoft SQL Server instances in an Azure environment and receive a message that you must increase your Azure subscription limits.
What should you do to increase the limits?
A. Create a service health alert
B. Upgrade your support plan
C. Modify an Azure policy
D. Create a new support request",D,"Many Azure resource have quote limits. The purpose of the quota limits is to help you control your Azure costs. However, it is common to require an increase to the default quota.
You can request a quota limit increase by opening a support request. In the support request, select 'Service and subscription limits (quotas)' for the Issue type, select your subscription and the service you want to increase the quota for. For this question, you would select 'SQL Database Managed Instance' as the quote type.",0
107,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Each Azure subscription can contain multiple account administrators. (Y/N)
- Each Azure subscription can be managed by using a Microsoft account only. (Y/N)
- An Azure resource group contains multiple Azure subscriptions. (Y/N)",NNN,"Box 1: No -
You can assign service administrators and co-administrators in the Azure Portal but there can only be one account administrator.

Box 2: No -
You need an Azure Active Directory account to manage a subscription, not a Microsoft account.
An account is created in the Azure Active Directory when you create the subscription. Further accounts can be created in the Azure Active Directory to manage the subscription.

Box 3: No -
Resource groups are logical containers for Azure resources. However, resource groups do not contain subscriptions. Subscriptions contain resource groups.",0
108,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Availability zones can be implemented in all Azure regions. (Y/N)
- Only VM that run Windows Server can be created in availability zones. (Y/N)
- Availability zones are used to replicate data and applications to multiple regions. (Y/N)",NNN,"Box 1: No -
Not all Azure regions support availability zones.

Box 2: No -
Availability zones can be used with many Azure services, not just VMs.

Box 3: No -
Availability Zones are unique physical locations within a single Azure region.",0
109,"You plan to create an Azure virtual machine.
You need to identify which storage service must be used to store the unmanaged data disks of the virtual machine.
A. Containers : Scalable, cost-effective for unstructured data.
B. File shares : Serverless SMB files shares.
C. Tables : Tabular data storage.
D. Queues : Effectively scale apps according to traffic.",A,Azure containers are the backbone of the virtual disks platform for Azure IaaS. Both Azure OS and data disks are implemented as virtual disks where data is durably persisted in the Azure Storage platform and then delivered to the virtual machines for maximum performance. Azure Disks are persisted in Hyper-V VHD format and stored as a page blob in Azure Storage.,0
110,"Your company plans to move several servers to Azure.
The company's compliance policy states that a server named FinServer must be on a separate network segment.
You are evaluating which Azure services can be used to meet the compliance policy requirements.
Which Azure solution should you recommend?
A. a resource group for FinServer and another resource group for all the other servers
B. a virtual network for FinServer and another virtual network for all the other servers
C. a VPN for FinServer and a virtual network gateway for each other server
D. one resource group for all the servers and a resource lock for FinServer",B,"Azure virtual networks provide the 'Isolation and segmentation' networking capability.
Networks in Azure are known as virtual networks. A virtual network can have multiple IP address spaces and multiple subnets. Azure automatically routes traffic between different subnets within a virtual network.
The question states that FinServer must be on a separate network segment. The only way to separate FinServer from the other servers in networking terms is to place the server in a different virtual network to the other servers.",0
111,"You plan to map a network drive from several computers that run Windows 10 to Azure Storage.
You need to create a storage solution in Azure for the planned mapped drive.
What should you create?
A. an Azure SQL database
B. a virtual machine data disk
C. a File service in a storage account
D. a Blob service in a storage account",C,"Azure Files is Microsoft's easy-to-use cloud file system. Azure file shares can be seamlessly used in Windows and Windows Server.
To use an Azure file share with Windows, you must either mount it, which means assigning it a drive letter or mount point path, or access it via its UNC path.
Unlike other SMB shares you may have interacted with, such as those hosted on a Windows Server, Linux Samba server, or NAS device, Azure file shares do not currently support Kerberos authentication with your Active Directory (AD) or Azure Active Directory (AAD) identity, although this is a feature we are working on.
Instead, you must access your Azure file share with the storage account key for the storage account containing your Azure file share. A storage account key is an administrator key for a storage account, including administrator permissions to all files and folders within the file share you're accessing, and for all file shares and other storage resources (blobs, queues, tables, etc) contained within your storage account.",0
112,"You plan to implement an Azure database solution.
You need to implement a database solution that meets the following requirements:
- Can add data concurrently from multiple regions
- Can store JSON documents
Which database service should you deploy? To answer, select the appropriate service in the answer area.
A. Azure Cosmos DB
B. Azure Database for MySQL servers
C. Azure Database for MariaDB servers
D. SQL Data warehouses
E. Azure Cache for Redis
F. Data factories
G. Virtual Clusters
H. Elastic Job agents
I. SQL databases
J. Azure Database for PostgreSQL servers
K. SQL servers
L. Azure Database Migration Services
M. SQL Server stretch databases
N. SQL elastic pools
O. Managed databases
P. SQL managed instances",A,"Azure Cosmos DB is Microsoft's globally distributed, multi-model database service. With a click of a button, Cosmos DB enables you to elastically and independently scale throughput and storage across any number of Azure regions worldwide.
Azure Cosmos DB is a great way to store unstructured and JSON data. Combined with Azure Functions, Cosmos DB makes storing data quick and easy with much less code than required for storing data in a relational database.",0
113,"Your company plans to start using Azure and will migrate all its network resources to Azure.
You need to start the planning process by exploring Azure.
What should you create first?
A. a subscription
B. a resource group
C. a virtual network
D. a management group",A,"The first thing you create in Azure is a subscription. You can think of an Azure subscription as an 'Azure account'. You get billed per subscription.
A subscription is an agreement with Microsoft to use one or more Microsoft cloud platforms or services, for which charges accrue based on either a per-user license fee or on cloud-based resource consumption.
- Microsoft's Software as a Service (SaaS)-based cloud offerings (Office 365, Intune/EMS, and Dynamics 365) charge per-user license fees.
- Microsoft's Platform as a Service (PaaS) and Infrastructure as a Service (IaaS) cloud offerings (Azure) charge based on cloud resource consumption.
You can also use a trial subscription, but the subscription expires after a specific amount of time or consumption charges. You can convert a trial subscription to a paid subscription.
Organizations can have multiple subscriptions for Microsoft's cloud offerings.",0
114,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- All the Azure resources deployed to a resource group must use the same Azure region. (Y/N)
- If you assign a tag to a resource group, all the Azure resources in that resource group are assigned to the same tag. (Y/N)
- If you assign permissions for a user to manage a resource group, the user can manage all the Azure resources in that resource group. (Y/N)",NNY,"Box 1: No -
Azure resources deployed to a single resource group can be located in different regions. The resource group only contains metadata about the resources it contains.
When creating a resource group, you need to provide a location for that resource group. You may be wondering, ""Why does a resource group need a location?
And, if the resources can have different locations than the resource group, why does the resource group location matter at all?"" The resource group stores metadata about the resources. When you specify a location for the resource group, you're specifying where that metadata is stored. For compliance reasons, you may need to ensure that your data is stored in a particular region.

Box 2: No -
Tags for Resources are not inherited by default from their Resource Group

Box 3: Yes -
A resource group can be used to scope access control for administrative actions. By default, permissions set at the resource level are inherited by the resources in the resource group.",0
115,"Data that is stored in the Archive access tier of an Azure Storage account […].
A. can be accessed at any time by using azcopy.exe.
B. can only be read by using Azure Backup.
C. must be restored before the data can be accessed.
D. must be rehydrated before the data can be accessed.",D,"Azure storage offers different access tiers: hot, cool and archive.
The archive access tier has the lowest storage cost. But it has higher data retrieval costs compared to the hot and cool tiers. Data in the archive tier can take several hours to retrieve.
While a blob is in archive storage, the blob data is offline and can't be read, overwritten, or modified. To read or download a blob in archive, you must first rehydrate it to an online tier.
Example usage scenarios for the archive access tier include:
- Long-term backup, secondary backup, and archival datasets
- Original (raw) data that must be preserved, even after it has been processed into final usable form.
- Compliance and archival data that needs to be stored for a long time and is hardly ever accessed.",0
116,"The application will run on an Azure virtual machine.
You need to recommend a deployment solution for the application. The solution must provide a guaranteed availability of 99.99 percent.
What is the minimum number of virtual machines and the minimum number of availability zones you should recommend for the deployment?
- Minimum number of VM ? A. 1 B.2 C.3
- Minimum number of availability zones ? A. 1 B.2 C.3",BB,"You need a minimum of two virtual machines with each one located in a different availability zone.
Availability Zones is a high-availability offering that protects your applications and data from datacenter failures. Availability Zones are unique physical locations within an Azure region. Each zone is made up of one or more datacenters equipped with independent power, cooling, and networking. To ensure resiliency, there's a minimum of three separate zones in all enabled regions. The physical separation of Availability Zones within a region protects applications and data from datacenter failures. Zone-redundant services replicate your applications and data across Availability Zones to protect from single-points-of-failure. With Availability
Zones, Azure offers industry best 99.99% VM uptime SLA.",0
117,"Which Azure service should you use to collect events from multiple resources into a centralized repository?
A. Azure Event Hubs
B. Azure Analysis Services
C. Azure Monitor
D. Azure Stream Analytics",A,"Correlate events = Azure Log Analytics
Collect events = Azure Event Hubs

The Azure service you should use to collect events from multiple resources into a centralized repository is A. Azure Event Hubs.
Azure Event Hubs is specifically designed as a high-throughput, real-time event ingestion service that can collect events from multiple sources. It's built to handle massive streams of data sent by application or infrastructure components in real-time. This data can then be processed by analytics services or stored for later analysis.
On the other hand, C. Azure Monitor is more focused on collecting operational telemetry, such as performance metrics, activity logs, and diagnostics data, to monitor the health and performance of Azure services. While Azure Monitor does collect events in the form of logs and metrics, its PRIMARY USE is NOT as an event ingestion service but as a monitoring and alerting service. Azure Event Hubs is the better choice when the goal is to set up a large-scale, event-driven data pipeline​​.",0
118,"An Availability Zone in Azure has physically separate locations […].
A. accross two continents.
B. within a single Azure region.
C. within multiple Azure regions.
D. within a single Azure datacenter.",B,Availability Zones is a high-availability offering that protects your applications and data from datacenter failures. Availability Zones are unique physical locations within an Azure region.,0
119,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Data that is stored in an Azure Storage account automatically has at least three copies. (Y/N)
- All data that is copied to an Azure Storage account is backed up automatically to another Azure data center. (Y/N)
- An Azure Storage account can contain up to 2 TB of data and up to one million files. (Y/N)",YNN,"Box 1: Yes -
There are different replication options available with a storage account. The 'minimum' replication option is Locally Redundant Storage (LRS). With LRS, data is replicated synchronously three times within the primary region.

Box 2: No -
Data is not backed up automatically to another Azure Data Center although it can be depending on the replication option configured for the account. Locally
Redundant Storage (LRS) is the default which maintains three copies of the data in the data center.
Geo-redundant storage (GRS) has cross-regional replication to protect against regional outages. Data is replicated synchronously three times in the primary region, then replicated asynchronously to the secondary region.

Box 3: No -
The limits are much higher than that. The current storage limit is 2 PB for US and Europe, and 500 TB for all other regions (including the UK) with no limit on the number of files.",0
120,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- If you have Azure resources deployed to every region, you can implement availability zones in all the regions. (Y/N)
- Only virtual machines that run Windows Server can be created in availability zones. (Y/N)
- Availability zones are used to replicate data and applications to multiple regions. (Y/N)",NNN,"1- Not every region has multiple Availability Zone. Some regions may have only one Availability Zone.
2- One can run both Linux and Windows virtual machines created in the availability zone.
3- Availability zones are used to replicate data and applications in the same region.",0
121,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- North America is represented by a single Azure region. (Y/N)
- Every Azure region has multiple datacenters. (Y/N)
- Data transfers between Azure services located in different Azure regions are always free. (Y/N)",NNN,"Box 1: No -
North America has several Azure regions, including West US, Central US, South Central US, East Us, and Canada East.

Box 2: Yes -
A region is a set of datacenters deployed within a latency-defined perimeter and connected through a dedicated regional low-latency network.

Box 3: No -
Outbound data transfer is charged at the normal rate and inbound data transfer is free.",0
122,"You plan to deploy several Azure virtual machines.
You need to ensure that the services running on the virtual machines are available if a single data center fails.
Solution: You deploy the virtual machines to two or more scale sets.
Does this meet the goal?
A. Yes
B. No",N,"This answer does not specify that the scale set will be configured across multiple data centers so this solution does not meet the goal.
Azure virtual machine scale sets let you create and manage a group of load balanced VMs. The number of VM instances can automatically increase or decrease in response to demand or a defined schedule. Scale sets provide high availability to your applications, and allow you to centrally manage, configure, and update many VMs.
Virtual machines in a scale set can be deployed across multiple update domains and fault domains to maximize availability and resilience to outages due to data center outages, and planned or unplanned maintenance events.",0
123,"You need to be notified when Microsoft plans to perform maintenance that can affect the resources deployed to an Azure subscription.
What should you use?
A. Azure Monitor
B. Azure Service Health
C. Azure Advisor
D. Microsoft Trust Center",B,"Azure Service Health provides a personalized view of the health of the Azure services and regions you're using. This is the best place to look for service impacting communications about outages, planned maintenance activities, and other health advisories because the authenticated Service Health experience knows which services and resources you currently use.",0
124,"A. Azure Sphere
B. IoT Central
C. IoT Hub
1. A software and hardware solution that provides communication and security features for IoT devices
2. A fully managed software as a service (SaaS) solution to connect, monitor, and manage IoT devices at scale
3. A managed service that provides bidirectional communication between IoT devices and Azure




",A3B2C1,"hu(b) = (b)iderectional
(c)entral = (c)onnect
(s)phere = (s)ecurity",0
